Date,Region,Product,Units_Sold,Price_Point,Revenue,Competitor_Price,Weather,Promotion_Active
2023-01-01,South Delhi,Classic Potato Samosa,295,15,4425,15.99,Clear,True
2023-01-01,South Delhi,Paneer Tikka Samosa,257,25,6425,23.34,Clear,False
2023-01-01,South Delhi,Spicy Chicken Samosa,142,30,4260,32.22,Clear,False
2023-01-01,South Delhi,Chocolate Fusion Samosa,27,45,1215,46.17,Rainy,False
2023-01-01,North Delhi,Classic Potato Samosa,173,15,2595,12.91,Clear,False
2023-01-01,North Delhi,Paneer Tikka Samosa,175,25,4375,29.74,Clear,False
2023-01-01,North Delhi,Spicy Chicken Samosa,104,30,3120,27.0,Clear,False
2023-01-01,North Delhi,Chocolate Fusion Samosa,39,45,1755,46.08,Clear,False
2023-01-01,West Delhi,Classic Potato Samosa,113,15,1695,19.42,Clear,False
2023-01-01,West Delhi,Paneer Tikka Samosa,102,25,2550,20.98,Clear,False
2023-01-01,West Delhi,Spicy Chicken Samosa,216,30,6480,31.1,Clear,False
2023-01-01,West Delhi,Chocolate Fusion Samosa,30,45,1350,41.82,Clear,False
2023-01-01,Noida,Classic Potato Samosa,86,15,1290,15.47,Clear,False
2023-01-01,Noida,Paneer Tikka Samosa,234,25,5850,24.5,Rainy,False
2023-01-01,Noida,Spicy Chicken Samosa,199,30,5970,34.22,Clear,False
2023-01-01,Noida,Chocolate Fusion Samosa,29,45,1305,43.25,Clear,False
2023-01-01,Gurugram,Classic Potato Samosa,209,15,3135,15.87,Clear,False
2023-01-01,Gurugram,Paneer Tikka Samosa,224,25,5600,21.41,Clear,False
2023-01-01,Gurugram,Spicy Chicken Samosa,104,30,3120,29.23,Clear,False
2023-01-01,Gurugram,Chocolate Fusion Samosa,26,45,1170,41.99,Clear,False
2023-01-02,South Delhi,Classic Potato Samosa,88,15,1320,10.74,Clear,False
2023-01-02,South Delhi,Paneer Tikka Samosa,294,25,7350,24.49,Rainy,True
2023-01-02,South Delhi,Spicy Chicken Samosa,127,30,3810,28.25,Clear,False
2023-01-02,South Delhi,Chocolate Fusion Samosa,34,45,1530,44.72,Rainy,False
2023-01-02,North Delhi,Classic Potato Samosa,124,15,1860,15.61,Clear,False
2023-01-02,North Delhi,Paneer Tikka Samosa,81,25,2025,24.28,Clear,False
2023-01-02,North Delhi,Spicy Chicken Samosa,118,30,3540,33.96,Clear,False
2023-01-02,North Delhi,Chocolate Fusion Samosa,15,45,675,44.1,Clear,True
